pokedex_number,name,generation,type1,type2,ability1,ability2,base_total,hp,attack,defense,sp_attack,sp_defense,speed,normal,fire,water,grass,electric,rock,ground,flying,fighting,ice,bug,steel,poison,psychic,dark,ghost,fairy,dragon
1,Bulbasaur,1,grass,poison,Overgrow,Chlorophyll,318,45,49,49,65,65,45,1.0,2.0,0.5,0.25,0.5,1.0,1.0,2.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0
2,Ivysaur,1,grass,poison,Overgrow,Chlorophyll,405,60,62,63,80,80,60,1.0,2.0,0.5,0.25,0.5,1.0,1.0,2.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0
3,Venusaur,1,grass,poison,Overgrow,Chlorophyll,625,80,100,123,122,120,80,1.0,2.0,0.5,0.25,0.5,1.0,1.0,2.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0
4,Charmander,1,fire,-,Blaze,Solar Power,309,39,52,43,60,50,65,1.0,0.5,2.0,0.5,1.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0
5,Charmeleon,1,fire,-,Blaze,Solar Power,405,58,64,58,80,65,80,1.0,0.5,2.0,0.5,1.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0
6,Charizard,1,fire,flying,Blaze,Solar Power,634,78,104,78,159,115,100,1.0,0.5,2.0,0.25,2.0,4.0,0.0,1.0,0.5,1.0,0.25,0.5,1.0,1.0,1.0,1.0,0.5,1.0
7,Squirtle,1,water,-,Torrent,Rain Dish,314,44,48,65,50,64,43,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
8,Wartortle,1,water,-,Torrent,Rain Dish,405,59,63,80,65,80,58,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
9,Blastoise,1,water,-,Torrent,Rain Dish,630,79,103,120,135,115,78,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
10,Caterpie,1,bug,-,Shield Dust,Run Away,195,45,30,35,20,20,45,1.0,2.0,1.0,0.5,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,Metapod,1,bug,-,Shed Skin,-,205,50,20,55,25,25,30,1.0,2.0,1.0,0.5,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,Butterfree,1,bug,flying,Compoundeyes,Tinted Lens,395,60,45,50,90,80,70,1.0,2.0,1.0,0.25,2.0,4.0,0.0,2.0,0.25,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,Weedle,1,bug,poison,Shield Dust,Run Away,195,40,35,30,20,20,50,1.0,2.0,1.0,0.25,1.0,2.0,1.0,2.0,0.25,1.0,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0
14,Kakuna,1,bug,poison,Shed Skin,-,205,45,25,50,25,25,35,1.0,2.0,1.0,0.25,1.0,2.0,1.0,2.0,0.25,1.0,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0
15,Beedrill,1,bug,poison,Swarm,Sniper,495,65,150,40,15,80,145,1.0,2.0,1.0,0.25,1.0,2.0,1.0,2.0,0.25,1.0,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0
16,Pidgey,1,normal,flying,Keen Eye,Tangled Feet,251,40,45,40,35,35,56,1.0,1.0,1.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0
17,Pidgeotto,1,normal,flying,Keen Eye,Tangled Feet,349,63,60,55,50,50,71,1.0,1.0,1.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0
18,Pidgeot,1,normal,flying,Keen Eye,Tangled Feet,579,83,80,80,135,80,121,1.0,1.0,1.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0
19,Rattata,1,normal,dark,Run Away,Guts,253,30,56,35,25,35,72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
20,Raticate,1,normal,dark,Run Away,Guts,413,75,71,70,40,80,77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
21,Spearow,1,normal,flying,Keen Eye,Sniper,262,40,60,30,31,31,70,1.0,1.0,1.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0
22,Fearow,1,normal,flying,Keen Eye,Sniper,442,65,90,65,61,61,100,1.0,1.0,1.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0
23,Ekans,1,poison,-,Intimidate,Shed Skin,288,35,60,44,40,54,55,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0
24,Arbok,1,poison,-,Intimidate,Shed Skin,448,60,95,69,65,79,80,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0
25,Pikachu,1,electric,-,Static,Lightningrod,320,35,55,40,50,50,90,1.0,1.0,1.0,1.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
26,Raichu,1,electric,electric,Static,Lightningrod,485,60,85,50,95,85,110,1.0,1.0,1.0,1.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
27,Sandshrew,1,ground,ice,Sand Veil,Sand Rush,300,50,75,90,10,35,40,1.0,1.0,2.0,2.0,0.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
28,Sandslash,1,ground,ice,Sand Veil,Sand Rush,450,75,100,120,25,65,65,1.0,1.0,2.0,2.0,0.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
29,Nidoranâ,1,poison,-,Poison Point,Rivalry,275,55,47,52,40,40,41,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0
30,Nidorina,1,poison,-,Poison Point,Rivalry,365,70,62,67,55,55,56,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0
31,Nidoqueen,1,poison,ground,Poison Point,Rivalry,505,90,92,87,75,85,76,1.0,1.0,2.0,1.0,0.0,0.5,2.0,1.0,0.5,2.0,0.5,1.0,0.25,2.0,1.0,1.0,0.5,1.0
32,Nidoranâ,1,poison,-,Poison Point,Rivalry,273,46,57,40,40,40,50,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0
33,Nidorino,1,poison,-,Poison Point,Rivalry,365,61,72,57,55,55,65,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0
34,Nidoking,1,poison,ground,Poison Point,Rivalry,505,81,102,77,85,75,85,1.0,1.0,2.0,1.0,0.0,0.5,2.0,1.0,0.5,2.0,0.5,1.0,0.25,2.0,1.0,1.0,0.5,1.0
35,Clefairy,1,fairy,-,Cute Charm,Magic Guard,323,70,45,48,60,65,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,2.0,2.0,1.0,0.5,1.0,1.0,0.0
36,Clefable,1,fairy,-,Cute Charm,Magic Guard,483,95,70,73,95,90,60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,2.0,2.0,1.0,0.5,1.0,1.0,0.0
37,Vulpix,1,fire,ice,Flash Fire,Drought,299,38,41,40,50,65,65,1.0,0.5,2.0,0.5,1.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0
38,Ninetales,1,fire,ice,Flash Fire,Drought,505,73,67,75,81,100,109,1.0,0.5,2.0,0.5,1.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0
39,Jigglypuff,1,normal,fairy,Cute Charm,Competitive,270,115,45,20,45,25,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.0,1.0,0.0
40,Wigglytuff,1,normal,fairy,Cute Charm,Competitive,435,140,70,45,85,50,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.0,1.0,0.0
41,Zubat,1,poison,flying,Inner Focus,Infiltrator,245,40,45,35,30,40,55,1.0,1.0,1.0,0.25,2.0,2.0,0.0,1.0,0.25,2.0,0.25,1.0,0.5,2.0,1.0,1.0,0.5,1.0
42,Golbat,1,poison,flying,Inner Focus,Infiltrator,455,75,80,70,65,75,90,1.0,1.0,1.0,0.25,2.0,2.0,0.0,1.0,0.25,2.0,0.25,1.0,0.5,2.0,1.0,1.0,0.5,1.0
43,Oddish,1,grass,poison,Chlorophyll,Run Away,320,45,50,55,75,65,30,1.0,2.0,0.5,0.25,0.5,1.0,1.0,2.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0
44,Gloom,1,grass,poison,Chlorophyll,Stench,395,60,65,70,85,75,40,1.0,2.0,0.5,0.25,0.5,1.0,1.0,2.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0
